Time,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
00:30,0.28,0.31,0.35,0.29,0.31,0.33,0.27,0.31,0.32,0.29,0.33,0.33,0.33,0.39,0.41
01:00,0.24,0.27,0.3,0.25,0.27,0.29,0.23,0.26,0.28,0.25,0.29,0.3,0.28,0.32,0.34
01:30,0.21,0.24,0.24,0.22,0.23,0.25,0.21,0.23,0.25,0.22,0.25,0.27,0.25,0.28,0.3
02:00,0.2,0.22,0.22,0.21,0.22,0.23,0.2,0.21,0.22,0.21,0.23,0.24,0.23,0.25,0.27
02:30,0.19,0.2,0.21,0.2,0.21,0.21,0.19,0.2,0.21,0.2,0.22,0.22,0.22,0.23,0.25
03:00,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.2,0.19,0.2,0.21,0.21,0.22,0.23
03:30,0.18,0.19,0.19,0.19,0.19,0.2,0.18,0.19,0.19,0.19,0.19,0.2,0.21,0.21,0.22
04:00,0.18,0.19,0.19,0.19,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.21,0.21
04:30,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.21,0.21
05:00,0.19,0.19,0.18,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.2,0.19,0.21,0.21,0.21
05:30,0.19,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.2,0.22,0.22,0.21
06:00,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.21,0.2,0.2,0.24,0.23,0.22
06:30,0.26,0.23,0.2,0.24,0.22,0.21,0.25,0.22,0.2,0.27,0.23,0.21,0.31,0.27,0.24
07:00,0.34,0.27,0.22,0.3,0.26,0.24,0.32,0.27,0.23,0.35,0.28,0.24,0.39,0.32,0.27
07:30,0.43,0.33,0.27,0.37,0.33,0.28,0.4,0.31,0.28,0.42,0.33,0.29,0.52,0.39,0.31
08:00,0.5,0.4,0.32,0.39,0.35,0.31,0.43,0.36,0.31,0.48,0.39,0.34,0.63,0.46,0.38
08:30,0.49,0.44,0.37,0.41,0.37,0.35,0.44,0.4,0.37,0.49,0.43,0.42,0.62,0.51,0.44
09:00,0.45,0.47,0.44,0.41,0.43,0.4,0.41,0.43,0.41,0.44,0.46,0.45,0.57,0.56,0.53
09:30,0.42,0.47,0.49,0.4,0.43,0.44,0.4,0.46,0.46,0.43,0.49,0.5,0.52,0.57,0.58
10:00,0.41,0.48,0.54,0.4,0.43,0.47,0.39,0.46,0.49,0.42,0.48,0.55,0.5,0.57,0.62
10:30,0.41,0.48,0.55,0.39,0.43,0.5,0.38,0.46,0.52,0.41,0.49,0.55,0.49,0.57,0.68
11:00,0.39,0.47,0.55,0.39,0.42,0.52,0.37,0.44,0.54,0.39,0.48,0.59,0.48,0.57,0.7
11:30,0.38,0.45,0.56,0.37,0.41,0.53,0.37,0.43,0.56,0.38,0.47,0.61,0.47,0.56,0.73
12:00,0.39,0.47,0.59,0.38,0.42,0.56,0.37,0.45,0.58,0.38,0.5,0.66,0.47,0.56,0.74
12:30,0.41,0.49,0.63,0.4,0.44,0.58,0.39,0.47,0.61,0.42,0.52,0.67,0.49,0.59,0.77
13:00,0.4,0.49,0.64,0.39,0.42,0.57,0.38,0.45,0.61,0.41,0.5,0.65,0.49,0.59,0.77
13:30,0.39,0.45,0.61,0.37,0.41,0.55,0.36,0.43,0.57,0.39,0.46,0.61,0.47,0.58,0.74
14:00,0.37,0.42,0.57,0.35,0.38,0.5,0.35,0.42,0.51,0.36,0.43,0.55,0.45,0.54,0.68
14:30,0.36,0.41,0.47,0.35,0.37,0.45,0.34,0.41,0.46,0.37,0.41,0.49,0.44,0.52,0.63
15:00,0.36,0.41,0.47,0.35,0.36,0.41,0.35,0.4,0.45,0.37,0.44,0.47,0.46,0.53,0.63
15:30,0.37,0.41,0.46,0.36,0.37,0.41,0.35,0.4,0.46,0.37,0.43,0.46,0.47,0.53,0.64
16:00,0.39,0.43,0.48,0.37,0.39,0.42,0.39,0.42,0.45,0.41,0.45,0.46,0.53,0.56,0.65
16:30,0.46,0.46,0.48,0.42,0.4,0.42,0.44,0.42,0.46,0.46,0.5,0.49,0.64,0.63,0.72
17:00,0.55,0.52,0.51,0.5,0.46,0.46,0.52,0.47,0.48,0.54,0.54,0.5,0.78,0.73,0.79
17:30,0.61,0.58,0.54,0.53,0.48,0.49,0.56,0.52,0.49,0.6,0.58,0.55,0.89,0.83,0.86
18:00,0.61,0.57,0.6,0.52,0.48,0.5,0.55,0.53,0.51,0.59,0.61,0.58,0.92,0.89,0.9
18:30,0.65,0.61,0.62,0.51,0.48,0.5,0.54,0.5,0.51,0.58,0.61,0.57,0.92,0.89,0.92
19:00,0.68,0.68,0.66,0.5,0.47,0.48,0.52,0.51,0.51,0.57,0.57,0.56,0.91,0.9,0.9
19:30,0.69,0.71,0.71,0.48,0.46,0.48,0.5,0.5,0.5,0.57,0.59,0.58,0.88,0.89,0.88
20:00,0.68,0.69,0.69,0.46,0.46,0.48,0.48,0.49,0.47,0.57,0.61,0.55,0.84,0.84,0.85
20:30,0.69,0.67,0.68,0.48,0.48,0.5,0.47,0.47,0.48,0.61,0.62,0.62,0.8,0.8,0.82
21:00,0.67,0.63,0.66,0.51,0.49,0.5,0.49,0.45,0.48,0.64,0.64,0.65,0.78,0.74,0.78
21:30,0.66,0.63,0.66,0.56,0.5,0.53,0.51,0.47,0.52,0.67,0.63,0.67,0.77,0.73,0.77
22:00,0.62,0.58,0.61,0.56,0.51,0.53,0.53,0.5,0.53,0.64,0.6,0.63,0.72,0.69,0.72
22:30,0.58,0.55,0.58,0.54,0.49,0.52,0.55,0.51,0.54,0.61,0.57,0.59,0.67,0.64,0.67
23:00,0.51,0.52,0.51,0.48,0.47,0.49,0.49,0.49,0.5,0.53,0.53,0.54,0.59,0.59,0.6
23:30,0.42,0.46,0.42,0.41,0.42,0.41,0.41,0.43,0.41,0.45,0.47,0.44,0.49,0.52,0.5
00:00,0.34,0.4,0.34,0.35,0.37,0.35,0.34,0.37,0.34,0.36,0.39,0.36,0.41,0.46,0.42
